# Freq(Hz) Mag(ohms) Phase(deg)
3.02952952952953e+02 -1.87447351642810e+01 -8.86443127459565e+01
3.03903903903904e+02 -1.87719439025193e+01 -8.86485536089985e+01
3.04854854854855e+02 -1.87990677153526e+01 -8.86527680260716e+01
3.05805805805806e+02 -1.88261071310289e+01 -8.86569562437465e+01
3.06756756756757e+02 -1.88530626728850e+01 -8.86611185055384e+01
3.07707707707708e+02 -1.88799348594074e+01 -8.86652550519545e+01
3.08658658658659e+02 -1.89067242042921e+01 -8.86693661205402e+01
3.09609609609610e+02 -1.89334312165028e+01 -8.86734519459245e+01
3.10560560560561e+02 -1.89600564003296e+01 -8.86775127598647e+01
3.11511511511512e+02 -1.89866002554456e+01 -8.86815487912900e+01
3.12462462462462e+02 -1.90130632769631e+01 -8.86855602663447e+01
3.13413413413413e+02 -1.90394459554889e+01 -8.86895474084305e+01
3.14364364364364e+02 -1.90657487771788e+01 -8.86935104382476e+01
3.15315315315315e+02 -1.90919722237914e+01 -8.86974495738357e+01
3.16266266266266e+02 -1.91181167727407e+01 -8.87013650306138e+01
3.17217217217217e+02 -1.91441828971485e+01 -8.87052570214196e+01
3.18168168168168e+02 -1.91701710658951e+01 -8.87091257565478e+01
3.19119119119119e+02 -1.91960817436705e+01 -8.87129714437884e+01
3.20070070070070e+02 -1.92219153910236e+01 -8.87167942884635e+01
3.21021021021021e+02 -1.92476724644119e+01 -8.87205944934637e+01
3.21971971971972e+02 -1.92733534162488e+01 -8.87243722592844e+01
3.22922922922923e+02 -1.92989586949523e+01 -8.87281277840608e+01
3.23873873873874e+02 -1.93244887449910e+01 -8.87318612636027e+01
3.24824824824825e+02 -1.93499440069311e+01 -8.87355728914281e+01
3.25775775775776e+02 -1.93753249174811e+01 -8.87392628587972e+01
3.26726726726727e+02 -1.94006319095376e+01 -8.87429313547447e+01
3.27677677677678e+02 -1.94258654122286e+01 -8.87465785661125e+01
3.28628628628629e+02 -1.94510258509579e+01 -8.87502046775809e+01
3.29579579579580e+02 -1.94761136474473e+01 -8.87538098717005e+01
